Latitude,Longitude,Location,Municipality,Crash Type,Year,Crash Count
49.282552,-122.980904,HOLDOM AVE & PANDORA ST,BURNABY,Casualty,2019,1
49.282868,-123.011385,CARLETON AVE & PANDORA ST,BURNABY,Casualty,2019,1
49.284355,-122.982202,DUNDAS ST & ELLESMERE AVE & N ELLESMERE AVE,BURNABY,Casualty,2019,1
49.284724,-123.018571,DUNDAS ST & INGLETON AVE & N INGLETON AVE,BURNABY,Casualty,2019,1
49.276287,-122.930794,GAGLARDI WAY & UNIVERSITY DR,BURNABY,PDO,2021,2
49.276499,-123.005984,ROSSER AVE & VENABLES ST,BURNABY,PDO,2021,1
49.277395,-123.005966,ROSSER AVE & UNION ST,BURNABY,PDO,2021,1
49.277755,-122.909082,TOWER RD & UNIVERSITY HIGH ST,BURNABY,PDO,2021,2
49.278269,-123.00318,GEORGIA ST & WILLINGDON AVE,BURNABY,PDO,2021,3
49.279199,-123.003176,FRANCES ST & WILLINGDON AVE,BURNABY,PDO,2021,1
49.280065,-122.994706,GAMMA AVE & PENDER ST,BURNABY,PDO,2021,1
49.280098,-123.003157,PENDER ST & WILLINGDON AVE,BURNABY,PDO,2021,5
49.280117,-123.008663,MADISON AVE & PENDER ST,BURNABY,PDO,2021,1
49.280136,-123.011442,CARLETON AVE & PENDER ST,BURNABY,PDO,2021,1
49.280171,-123.01628,MACDONALD AVE & PENDER ST,BURNABY,PDO,2021,1
49.28022,-122.990386,CAPITOL DR & HASTINGS ST & HYTHE AVE,BURNABY,PDO,2021,4
49.280231,-123.023511,BOUNDARY RD & E PENDER ST & PENDER ST,BURNABY,PDO,2021,3
49.280237,-122.961415,ELLERSLIE AVE & HASTINGS ST,BURNABY,PDO,2021,2
49.280334,-122.982295,ELLESMERE AVE & HASTINGS ST,BURNABY,PDO,2021,3
49.280372,-122.953392,DUTHIE AVE & HASTINGS ST,BURNABY,PDO,2021,6
49.280429,-122.98387,EMPIRE DR & HASTINGS ST & HOWARD AVE & TURNING LANE,BURNABY,PDO,2021,3
49.281005,-123.000246,ALPHA AVE & HASTINGS ST,BURNABY,PDO,2021,6
49.281027,-123.005889,HASTINGS ST & ROSSER AVE,BURNABY,PDO,2021,14
49.281047,-123.014159,GILMORE AVE & HASTINGS ST,BURNABY,PDO,2021,40
49.281081,-123.018624,HASTINGS ST & INGLETON AVE,BURNABY,PDO,2021,8
49.281113,-123.020983,ESMOND AVE & HASTINGS ST,BURNABY,PDO,2021,5
49.281139,-123.023506,BOUNDARY RD & E HASTINGS ST & HASTINGS ST,BURNABY,PDO,2021,24
49.281283,-122.927342,UNIVERSITY DR & W CAMPUS RD,BURNABY,PDO,2021,2
49.281868,-122.992077,ALBERT ST & DELTA AVE,BURNABY,PDO,2021,1
49.282018,-123.020969,ALBERT ST & ESMOND AVE,BURNABY,PDO,2021,1
